20151029-1800,28.21%
20151030-0201,28.21%
20151030-2339,28.21%
20151101-2256,28.21%
20151103-2119,27.50%
20151104-0254,28.21%
20151104-1204,30.00%
20151104-1933,28.21%
20151105-0255,28.21%
20151105-1701,28.21%
20151107-0305,67.74%
20151107-2307,74.19%
20151108-1553,67.74%
20151108-2307,67.74%
20151109-1234,70.97%
20151109-1509,61.29%
20151110-2322,70.97%
20151111-0310,70.97%
20151111-1652,58.82%
20151111-2301,67.74%
20151112-1211,70.97%
20151112-1508,66.67%
20151112-1958,70.97%
20151113-0002,61.76%
20151116-2256,74.19%
20151118-2300,70.97%
20151119-0308,64.52%
20151119-1211,74.19%
20151119-1929,74.19%
20151122-1654,67.74%
20151122-1856,64.52%
20151122-2258,64.52%
20151123-1201,67.74%
20151123-1905,74.19%
20151124-1808,74.19%
20151125-1934,70.97%
20151126-0312,80.65%
20151126-1254,70.97%
20151126-1529,70.97%
20151126-1914,58.06%
20151130-1537,67.74%
20151119-0308,74.19%
20151201-1509,70.97%
20151201-1848,70.97%
20151201-2358,58.82%
20151202-0253,70.97%
20151202-1230,70.97%
20151202-2031,77.42%
20151203-1914,74.19%
20151204-1138,77.42%
20151204-1456,58.82%
20151204-2233,70.97%
20151205-0235,67.74%
20151205-1835,74.19%
20151206-1433,70.97%
20151206-1835,80.65%
20151207-0239,70.97%
20151207-1508,74.19%
20151208-1837,70.97%
20151209-0105,74.19%
20151209-1145,77.42%
20151209-1453,74.19%
20151209-1913,61.76%
20151210-1655,70.97%
20151211-1729,74.19%
20151211-2135,74.19%
20151211-2306,70.97%
20151212-0229,61.76%
20151212-1431,74.19%
20151214-1135,77.42%
20151215-2328,61.29%
20151216-1745,67.74%
20151217-1649,74.19%
20151218-1835,74.19%
20151221-1827,74.19%
20151222-1448,70.97%
20151222-1910,70.97%
20151223-0228,70.97%
20151223-1129,74.19%
20151223-1832,70.97%
20151224-1910,70.97%
20151225-1853,74.19%
20151227-1833,74.19%
20151228-2029,74.19%
20151230-1215,70.97%
20151230-1855,74.19%
20151230-2304,70.97%
20160104-1749,74.19%
20160104-1920,70.97%
20160105-0054,74.19%
